iter	Passed	Remaining
0	141	141659
1	142	71112
2	143	47569
3	143	35790
4	144	28762
5	145	24050
6	145	20683
7	146	18160
8	147	16198
9	147	14633
10	148	13356
11	149	12284
12	149	11375
13	150	10597
14	151	9921
15	151	9334
16	152	8813
17	153	8351
18	153	7937
19	154	7571
20	155	7234
21	155	6926
22	156	6644
23	157	6386
24	157	6147
25	158	5928
26	158	5724
27	159	5535
28	160	5359
29	160	5197
30	161	5044
31	161	4899
32	162	4764
33	163	4637
34	163	4516
35	164	4403
36	165	4295
37	165	4193
38	166	4098
39	166	4007
40	167	3920
41	168	3836
42	168	3758
43	169	3681
44	170	3609
45	170	3540
46	171	3472
47	171	3408
48	172	3347
49	173	3288
50	173	3232
51	174	3178
52	174	3126
53	175	3075
54	176	3027
55	176	2980
56	177	2935
57	178	2891
58	178	2848
59	179	2808
60	179	2768
61	180	2730
62	181	2693
63	181	2657
64	182	2621
65	182	2587
66	183	2555
67	184	2523
68	184	2492
69	185	2461
70	185	2432
71	186	2404
72	187	2377
73	187	2350
74	188	2323
75	189	2298
76	189	2273
77	190	2248
78	190	2224
79	191	2200
80	191	2178
81	192	2156
82	192	2131
83	193	2110
84	194	2089
85	194	2069
86	195	2049
87	195	2030
88	196	2011
89	197	1993
90	197	1975
91	198	1958
92	199	1941
93	199	1924
94	200	1907
95	200	1891
96	201	1875
97	202	1859
98	202	1844
99	203	1829
100	203	1814
101	204	1800
102	205	1786
103	205	1772
104	206	1759
105	207	1746
106	207	1732
107	208	1719
108	208	1707
109	209	1695
110	210	1682
111	210	1670
112	211	1658
113	211	1647
114	212	1635
115	213	1624
116	213	1612
117	214	1601
118	214	1590
119	215	1580
120	216	1569
121	216	1558
122	217	1549
123	217	1539
124	218	1529
125	219	1519
126	219	1509
127	220	1499
128	220	1490
129	221	1481
130	222	1472
131	222	1464
132	223	1455
133	223	1446
134	224	1438
135	225	1430
136	225	1421
137	226	1413
138	226	1405
139	227	1397
140	228	1390
141	228	1381
142	229	1373
143	229	1366
144	230	1359
145	231	1351
146	231	1344
147	232	1337
148	232	1330
149	233	1323
150	234	1316
151	234	1309
152	235	1302
153	235	1295
154	236	1289
155	237	1283
156	237	1277
157	238	1270
158	239	1264
159	239	1258
160	240	1251
161	240	1244
162	241	1238
163	241	1232
164	242	1226
165	243	1221
166	243	1216
167	244	1211
168	245	1206
169	245	1201
170	246	1195
171	247	1190
172	247	1185
173	248	1180
174	249	1175
175	250	1170
176	250	1165
177	251	1160
178	251	1155
179	252	1151
180	253	1146
181	254	1141
182	254	1137
183	255	1132
184	256	1128
185	256	1123
186	257	1118
187	258	1114
188	258	1109
189	259	1105
190	260	1101
191	260	1096
192	261	1092
193	261	1088
194	262	1084
195	263	1080
196	264	1076
197	264	1072
198	265	1068
199	266	1064
200	266	1060
201	267	1056
202	268	1052
203	268	1048
204	269	1045
205	270	1041
206	270	1037
207	271	1034
208	272	1031
209	273	1028
210	274	1024
211	275	1022
212	275	1019
213	276	1016
214	277	1012
215	278	1009
216	278	1005
217	279	1001
218	280	998
219	280	995
220	281	992
221	282	989
222	283	986
223	283	983
224	284	980
225	285	977
226	286	974
227	286	971
228	287	968
229	288	965
230	289	962
231	289	959
232	290	956
233	291	953
234	292	950
235	292	947
236	293	944
237	294	942
238	295	940
239	296	937
240	296	934
241	297	931
242	298	928
243	298	925
244	299	922
245	300	919
246	301	917
247	301	915
248	302	912
249	303	909
250	303	906
251	304	903
252	305	901
253	305	898
254	306	895
255	307	893
256	308	891
257	309	888
258	309	886
259	310	883
260	311	881
261	311	878
262	312	875
263	313	873
264	314	871
265	314	868
266	315	866
267	316	863
268	316	861
269	317	858
270	318	856
271	319	854
272	320	852
273	320	850
274	321	848
275	322	845
276	322	842
277	323	840
278	324	838
279	324	835
280	325	833
281	326	831
282	327	829
283	328	827
284	328	824
285	329	822
286	330	820
287	331	818
288	331	816
289	332	814
290	333	812
291	334	810
292	334	808
293	335	806
294	336	803
295	337	801
296	337	799
297	338	797
298	339	796
299	340	793
300	340	791
301	341	789
302	342	787
303	343	785
304	343	783
305	344	781
306	345	779
307	346	777
308	346	775
309	347	773
310	348	771
311	348	769
312	349	767
313	350	765
314	351	763
315	352	762
316	352	760
317	353	758
318	354	756
319	354	754
320	355	752
321	356	750
322	357	748
323	358	747
324	358	745
325	359	743
326	360	741
327	361	739
328	362	738
329	362	736
330	363	734
331	364	732
332	364	730
333	365	728
334	366	727
335	367	725
336	367	723
337	368	721
338	369	719
339	370	718
340	370	716
341	371	715
342	372	713
343	373	711
344	374	710
345	374	708
346	375	706
347	376	704
348	376	703
349	377	701
350	378	699
351	379	697
352	379	696
353	380	694
354	381	692
355	381	691
356	383	689
357	383	688
358	384	686
359	385	684
360	385	682
361	386	680
362	386	678
363	387	677
364	388	675
365	389	674
366	390	673
367	390	671
368	391	669
369	392	667
370	392	666
371	393	664
372	394	663
373	395	661
374	395	659
375	396	658
376	397	656
377	397	654
378	398	652
379	399	651
380	399	649
381	400	647
382	401	646
383	401	644
384	402	642
385	403	641
386	403	639
387	404	638
388	405	636
389	405	635
390	406	633
391	407	631
392	408	630
393	408	629
394	409	627
395	410	625
396	411	624
397	411	623
398	412	621
399	413	620
400	414	618
401	415	617
402	415	615
403	416	614
404	416	612
405	417	610
406	418	609
407	418	607
408	419	606
409	420	604
410	420	603
411	421	601
412	422	599
413	422	598
414	423	596
415	424	595
416	424	593
417	425	592
418	426	590
419	426	589
420	427	588
421	428	586
422	428	585
423	429	583
424	430	581
425	430	580
426	431	579
427	432	577
428	432	576
429	433	574
430	434	573
431	434	571
432	435	570
433	436	568
434	436	567
435	437	566
436	438	564
437	438	563
438	439	561
439	440	560
440	440	558
441	441	557
442	442	556
443	443	554
444	443	553
445	444	552
446	445	550
447	445	549
448	446	548
449	447	546
450	448	545
451	448	544
452	449	542
453	450	541
454	450	540
455	451	538
456	452	537
457	453	536
458	454	535
459	454	533
460	455	532
461	456	531
462	456	529
463	457	528
464	458	527
465	459	526
466	460	525
467	460	523
468	461	522
469	462	521
470	462	519
471	463	518
472	464	517
473	465	516
474	465	514
475	466	513
476	467	512
477	467	510
478	468	509
479	469	508
480	469	506
481	470	505
482	471	504
483	471	502
484	472	501
485	473	500
486	473	499
487	474	498
488	475	496
489	476	495
490	477	494
491	477	493
492	478	492
493	479	490
494	480	489
495	480	488
496	481	487
497	482	486
498	483	484
499	483	483
500	484	482
501	485	481
502	486	480
503	487	479
504	487	478
505	488	476
506	489	475
507	489	474
508	490	473
509	491	472
510	492	470
511	492	469
512	493	468
513	493	466
514	494	465
515	495	464
516	495	463
517	496	461
518	497	460
519	497	459
520	498	458
521	498	456
522	499	455
523	500	454
524	500	453
525	501	451
526	502	450
527	502	449
528	503	448
529	504	447
530	505	446
531	506	445
532	506	444
533	507	442
534	508	441
535	508	440
536	509	439
537	510	437
538	510	436
539	511	435
540	512	434
541	512	433
542	513	432
543	514	431
544	515	430
545	515	429
546	516	427
547	517	426
548	517	425
549	518	424
550	519	423
551	520	422
552	520	420
553	521	419
554	521	418
555	522	417
556	523	416
557	524	415
558	524	414
559	525	412
560	526	411
561	526	410
562	527	409
563	528	408
564	528	407
565	529	405
566	530	404
567	530	403
568	531	402
569	531	401
570	532	400
571	533	398
572	533	397
573	534	396
574	535	395
575	535	394
576	536	393
577	537	392
578	538	391
579	538	390
580	539	388
581	539	387
582	540	386
583	541	385
584	541	384
585	542	383
586	543	382
587	543	380
588	544	379
589	544	378
590	545	377
591	546	376
592	546	375
593	547	374
594	548	373
595	548	372
596	549	370
597	550	369
598	550	368
599	551	367
600	552	366
601	552	365
602	553	364
603	553	363
604	554	362
605	555	361
606	555	359
607	562	362
608	563	361
609	563	360
610	564	359
611	565	358
612	565	357
613	566	356
614	567	355
615	567	353
616	568	352
617	569	351
618	570	350
619	570	349
620	571	348
621	571	347
622	572	346
623	573	345
624	573	344
625	574	343
626	575	342
627	575	341
628	576	340
629	577	339
630	577	337
631	578	336
632	579	335
633	580	334
634	581	334
635	581	333
636	582	331
637	583	330
638	583	329
639	584	328
640	585	327
641	586	326
642	586	325
643	587	324
644	588	323
645	588	322
646	589	321
647	590	320
648	590	319
649	591	318
650	592	317
651	592	316
652	593	315
653	594	314
654	594	313
655	595	312
656	596	311
657	596	310
658	597	309
659	598	308
660	598	307
661	599	306
662	600	305
663	600	304
664	601	303
665	602	301
666	602	300
667	603	299
668	604	298
669	604	297
670	605	296
671	606	296
672	607	295
673	607	293
674	608	292
675	609	291
676	609	290
677	610	289
678	611	288
679	611	287
680	612	286
681	612	285
682	613	284
683	614	283
684	614	282
685	615	281
686	616	280
687	617	279
688	617	278
689	618	277
690	619	276
691	619	275
692	620	274
693	621	273
694	622	272
695	622	271
696	623	270
697	623	269
698	624	268
699	625	268
700	625	267
701	626	266
702	627	265
703	627	264
704	628	263
705	629	262
706	629	261
707	630	260
708	631	259
709	632	258
710	632	257
711	633	256
712	633	255
713	634	254
714	635	253
715	635	252
716	636	251
717	637	250
718	637	249
719	638	248
720	639	247
721	640	246
722	640	245
723	641	244
724	642	243
725	642	242
726	643	241
727	644	240
728	644	239
729	645	238
730	646	237
731	646	236
732	647	235
733	648	234
734	648	233
735	649	232
736	649	231
737	650	231
738	651	230
739	652	229
740	652	228
741	653	227
742	654	226
743	654	225
744	655	224
745	656	223
746	656	222
747	657	221
748	658	220
749	658	219
750	659	218
751	660	217
752	660	216
753	661	215
754	662	214
755	662	213
756	663	213
757	664	212
758	664	211
759	665	210
760	666	209
761	667	208
762	667	207
763	668	206
764	669	205
765	670	204
766	670	203
767	671	202
768	672	201
769	673	201
770	673	200
771	674	199
772	675	198
773	675	197
774	676	196
775	677	195
776	677	194
777	678	193
778	679	192
779	679	191
780	680	190
781	681	189
782	681	188
783	682	188
784	683	187
785	683	186
786	684	185
787	685	184
788	685	183
789	686	182
790	686	181
791	687	180
792	688	179
793	688	178
794	689	177
795	690	176
796	690	175
797	691	175
798	692	174
799	692	173
800	693	172
801	694	171
802	694	170
803	695	169
804	696	168
805	696	167
806	697	166
807	698	165
808	698	164
809	699	164
810	699	163
811	700	162
812	701	161
813	701	160
814	702	159
815	703	158
816	703	157
817	704	156
818	705	155
819	705	154
